name,symbol,logo,price,market_cap,href
Holo,HOT,https://s2.coinmarketcap.com/static/img/coins/64x64/2682.png,$0.00 ,"$340,228,058 ",https://coinmarketcap.com/currencies/holo/
Nexo,NEXO,https://s2.coinmarketcap.com/static/img/coins/64x64/2694.png,$0.60 ,"$337,893,361 ",https://coinmarketcap.com/currencies/nexo/
1inch Network,1INCH,https://s2.coinmarketcap.com/static/img/coins/64x64/8104.png,$0.59 ,"$327,379,986 ",https://coinmarketcap.com/currencies/1inch/
XDC Network,XDC,https://s2.coinmarketcap.com/static/img/coins/64x64/2634.png,$0.03 ,"$320,651,190 ",https://coinmarketcap.com/currencies/xinfin/
Decred,DCR,https://s2.coinmarketcap.com/static/img/coins/64x64/1168.png,$21.38 ,"$303,219,255 ",https://coinmarketcap.com/currencies/decred/
GateToken,GT,https://s2.coinmarketcap.com/static/img/coins/64x64/4269.png,$3.79 ,"$296,986,055 ",https://coinmarketcap.com/currencies/gatetoken/
Symbol,XYM,https://s2.coinmarketcap.com/static/img/coins/64x64/8677.png,$0.05 ,"$280,341,654 ",https://coinmarketcap.com/currencies/symbol/
Qtum,QTUM,https://s2.coinmarketcap.com/static/img/coins/64x64/1684.png,$2.68 ,"$279,765,966 ",https://coinmarketcap.com/currencies/qtum/
Serum,SRM,https://s2.coinmarketcap.com/static/img/coins/64x64/6187.png,$1.06 ,"$279,128,173 ",https://coinmarketcap.com/currencies/serum/
Kadena,KDA,https://s2.coinmarketcap.com/static/img/coins/64x64/5647.png,$1.51 ,"$279,066,954 ",https://coinmarketcap.com/currencies/kadena/
Gnosis,GNO,https://s2.coinmarketcap.com/static/img/coins/64x64/1659.png,$107.71 ,"$277,836,331 ",https://coinmarketcap.com/currencies/gnosis-gno/
Synthetix,SNX,https://s2.coinmarketcap.com/static/img/coins/64x64/2586.png,$2.38 ,"$273,871,103 ",https://coinmarketcap.com/currencies/synthetix-network-token/
